time,q,dq,u,kinetic_energy,potential_energy,total_energy
0.002,0.7853726644245199,-0.025498887619158216,-7.853981633974483,0.0009411624657930686,94.21890040853086,94.21984157099665
0.004,0.7852962039365898,-0.05096134449321724,-7.802728869006883,0.0037592857429634002,94.2166788843998,94.22043817014276
0.006,0.7851688561195008,-0.07638604647874558,-7.751039350379465,0.008446020540748304,94.21297922625345,94.2214252467942
0.008,0.7849906978038198,-0.10177167297808945,-7.698916468237517,0.014992640851214987,94.20780423066492,94.22279687151614
0.01,0.7847618084578345,-0.1271169068509881,-7.646363632082019,0.023390046690307066,94.20115699475049,94.2245470414408
0.012,0.7844822701807267,-0.15242043432707966,-7.593384270876369,0.03362876684476281,94.19304091492967,94.22666968177442
0.014,0.7841521676959189,-0.17768094491937858,-7.539981833153107,0.04569896162517127,94.18345968568924,94.22915864731442
0.016,0.7837715883445933,-0.2028971313388043,-7.486159787120432,0.05959042562548501,94.1724172983514,94.23200772397689
0.018000000000000002,0.7833406220793803,-0.2280676894098409,-7.431921620768324,0.07529259048937095,94.1599180398448,94.23521063033417
0.020000000000000004,0.7828593614582149,-0.2531913179874053,-7.377270841974121,0.09279452768384099,94.14596649147849,94.23876101916233
0.022000000000000006,0.7823279016383579,-0.2782667188750019,-7.3222109786073375,0.11208495128066397,94.1305675277177,94.24265247899837
0.024000000000000007,0.7817463403705793,-0.3032925967442394,-7.266745578633575,0.13315222074611788,94.11372631496101,94.24687853570713
0.02600000000000001,0.7811147779935016,-0.32826765905578587,-7.210878210217315,0.15598434373969772,94.09544831031809,94.2514326540578
0.02800000000000001,0.7804333174280991,-0.3531906159818356,-7.154612461823445,0.18056897892244936,94.07573926038702,94.25630823930948
0.030000000000000013,0.7797020641723513,-0.37806018033016187,-7.09795194231732,0.20689343877565347,94.05460520003071,94.26149863880636
0.032000000000000015,0.7789211262960465,-0.40287506746982765,-7.040900281063189,0.234944692430633,94.03205245115097,94.2669971435816
0.034000000000000016,0.7780906144357315,-0.42763399525862544,-6.983461128020809,0.2647093685105104,94.00808762145984,94.27279698997035
0.03600000000000002,0.7772106417898056,-0.45233568397231694,-6.9256381538400635,0.2961737579847878,93.9827176032466,94.27889136123139
0.03800000000000002,0.776281324113754,-0.4769788562357414,-6.867435049953421,0.32932381703766894,93.95594957213987,94.28527338917755
0.04000000000000002,0.7753027797155163,-0.501562236955861,-6.808855528666057,0.36414516995108875,93.92779098586328,94.29193615581437
0.04200000000000002,0.7742751294509883,-0.5260845532568101,-6.749903323243441,0.4006231120034562,93.89824958298401,94.29887269498747
0.044000000000000025,0.7731984967196504,-0.5505445344170149,-6.690582187996263,0.43874261238516055,93.86733338165229,94.30607599403744
0.04600000000000003,0.7720730074603199,-0.5749409118084472,-6.630895898362473,0.4784883171319294,93.83505067833151,94.31353899546345
0.04800000000000003,0.7708987901470238,-0.5992724188380769,-6.570848250986305,0.519844552077163,93.80141004651696,94.32125459859412
0.05000000000000003,0.7696759757849841,-0.623537790891586,-6.510443063794083,0.5627953258244051,93.76642033544208,94.32921566126649
0.05200000000000003,0.768404697906716,-0.6477357652794035,-6.44968417606667,0.60732433274115,93.73009066877087,94.33741500151201
0.054000000000000034,0.7670850925682293,-0.6718650811851238,-6.388575448508353,0.6534149559752068,93.6924304432753,94.3458453992505
0.056000000000000036,0.7657172983453326,-0.6959244796163663,-6.327120763312045,0.7010502704948764,93.65344932749579,94.35449959799067
0.05800000000000004,0.7643014563300317,-0.7199127033581327,-6.265324024220594,0.750213046154238,93.61315726038367,94.36337030653792
0.06000000000000004,0.7628377101270192,-0.7438284969287213,-6.203189156584051,0.8008857507848341,93.57156444992425,94.37245020070908
0.06200000000000004,0.7613262058502503,-0.7676706065382503,-6.140720107412749,0.8530505533151095,93.52868137173827,94.38173192505339
0.06400000000000004,0.7597670921195985,-0.7914377800498459,-6.077920845426003,0.9066893269189431,93.4845187676612,94.39120809458014
0.06600000000000004,0.7581605200575852,-0.8151287669435476,-6.014795361096293,0.9617836521946576,93.43908764429804,94.4008712964927
0.06800000000000005,0.7565066432861808,-0.8387423182829806,-5.951347666688756,1.0183148203758934,93.39239927155222,94.41071409192811
0.07000000000000005,0.7548056179236678,-0.8622771866848464,-5.887581796295846,1.076263836575756,93.34446518112733,94.4207290177031
0.07200000000000005,0.7530576025815632,-0.8857321262912796,-5.823501805866986,1.135611423065667,93.29529716499951,94.43090858806518
0.07400000000000005,0.7512627583615923,-0.9091058927451179,-5.759111773233073,1.1963380225903297,93.24490727385927,94.4412452964496
0.07600000000000005,0.7494212488527101,-0.932397243168131,-5.6944157981256875,1.2584238017202707,93.19330781552092,94.4517316172412
0.07800000000000006,0.7475332401281625,-0.9556049361422526,-5.629418002190839,1.3218486542433974,93.14051135329791,94.4623600075413
0.08000000000000006,0.7455989007425822,-0.9787277316938585,-5.564122528997119,1.3865922045970163,93.08653070434248,94.4731229089395
0.08200000000000006,0.7436184017291128,-1.001764391281131,-5.4985335440381045,1.4526338113417792,93.0313789379479,94.48401274928969
0.08400000000000006,0.7415919165965555,-1.024713677784551,-5.432655234728866,1.5199525706789982,92.97506937381159,94.49502194449059
0.08600000000000006,0.7395196213265316,-1.0475743555005543,-5.366491810396454,1.5885273200127894,92.91761558025746,94.50614290027025
0.08800000000000006,0.7374016943706534,-1.0703451901383914,-5.300047502264207,1.6583366415584897,92.85903137241567,94.51736801397416
0.09000000000000007,0.7352383166476998,-1.0930249488202208,-5.233326563429752,1.7293588659987804,92.79933081035827,94.52868967635705
0.09200000000000007,0.7330296715407875,-1.1156124000844765,-5.166333268836556,1.801572076188963,92.73852819718883,94.54010027337779
0.09400000000000007,0.730775944894532,-1.1381063138925347,-5.0990719152389214,1.874954110912783,92.67663807708472,94.5515921879975
0.09600000000000007,0.728477325012193,-1.1605054616387147,-5.0315468211602505,1.9494825686902328,92.6136752332898,94.56315780198003
0.09800000000000007,0.7261340026527948,-1.1828086161636402,-4.963762326844501,2.0251348116387025,92.54965468605637,94.57478949769508
0.10000000000000007,0.7237461710282184,-1.2050145517709885,-4.895722794200668,2.101887969388854,92.48459169053446,94.58647965992331
0.10200000000000008,0.7213140258002549,-1.227122044247653,-4.8274326067402065,2.179718943056579,92.41850173460682,94.5982206776634
0.10400000000000008,0.7188377650776171,-1.2491298708873424,-4.758896169507244,2.25860440927234,92.35140053666807,94.6100049459404
0.10600000000000008,0.7163175894128985,-1.2710368105176382,-4.690117909001486,2.3385208242692297,92.2833040433464,94.62182486761563
0.10800000000000008,0.713753701799476,-1.29284164353053,-4.621102273093708,2.419444428030995,92.21422842716602,94.63367285519702
0.11000000000000008,0.7111463076683475,-1.3145431519164483,-4.551853730933699,2.5013512485012717,92.14419008414912,94.64554133265038
0.11200000000000009,0.7084956148848984,-1.336140119301808,-4.482376772850579,2.584217105855253,92.07320563135555,94.65742273721081
0.11400000000000009,0.7058018337455889,-1.357631330990082,-4.412675910245369,2.668017616834956,92.0012919043587,94.66930952119365
0.11600000000000009,0.7030651769745557,-1.3790155740064112,-4.3427556754757255,2.7527281991492227,91.92846595465633,94.68119415380555
0.11800000000000009,0.7002858597201216,-1.4002916371457672,-4.2726206217327345,2.8383240759395547,91.8547450470147,94.69306912295426
0.12000000000000009,0.6974640995512043,-1.4214583110246741,-4.202275322909681,2.924780280312842,91.78014665674452,94.70492693705737
0.1220000000000001,0.6946001164536186,-1.4425143881364952,-4.131724373462694,3.0120716599420048,91.70468846690754,94.71676012684955
0.1240000000000001,0.691694132826265,-1.463458662910292,-4.060972388263195,3.100172881735488,91.62838836545238,94.72856124718787
0.12600000000000008,0.6887463734771958,-1.4842899317732556,-3.9900240024420666,3.1890584365765573,91.55126444227812,94.74032287885468
0.12800000000000009,0.6857570656195541,-1.5050069932167158,-3.918883871225447,3.2787026441332436,91.47333498622469,94.75203763035793
0.1300000000000001,0.6827264388673758,-1.5256086478657205,-3.847556669762109,3.3690796577397553,91.39461848198859,94.76369813972835
0.1320000000000001,0.6796547252312505,-1.5460936985521885,-3.7760470929423176,3.4601634693501215,91.31513360696292,94.77529707631304
0.1340000000000001,0.6765421591138309,-1.5664609503916267,-3.7043598552081276,3.551927914564752,91.23489922800053,94.78682714256529
0.1360000000000001,0.6733889773051864,-1.5867092108634064,-3.6324996903550555,3.6443466777305886,91.15393439809934,94.79828107582992
0.1380000000000001,0.6701954189779923,-1.6068372898945877,-3.560471351325051,3.7373932971153803,91.07225835300869,94.80965165012407
0.1400000000000001,0.6669617256825469,-1.6268439999472826,-3.4882796099907476,3.8310411701566416,90.98989050775583,94.82093167791247
0.1420000000000001,0.6636881413416119,-1.6467281561095415,-3.415929256930903,3.9252635587857214,90.90685045309182,94.83211401187754
0.1440000000000001,0.6603749122450666,-1.6664885761897485,-3.343425101197036,4.020033594827392,90.8231579518555,94.8431915466829
0.1460000000000001,0.6570222870443697,-1.686124080814508,-3.270771970071169,4.115324285475224,90.73883293525563,94.85415722073085
0.1480000000000001,0.6536305167468222,-1.705633493530001,-3.197974708814681,4.211108518843055,90.65389549906935,94.86500401791241
0.1500000000000001,0.650199854709624,-1.7250156409067912,-3.125038180408219,4.30735906959267,90.56836589975772,94.87572496935039
0.1520000000000001,0.646730556633718,-1.7442693526480544,-3.0519672652826584,4.404048604637802,90.48226455049632,94.88631315513413
0.1540000000000001,0.6432228805574131,-1.763393461701207,-2.9787668610410716,4.501149688924513,90.39561201712156,94.89676170604608
0.1560000000000001,0.6396770868497814,-1.7823868043729025,-2.9054418821717163,4.598634791287816,90.30842901399167,94.90706380527949
0.1580000000000001,0.6360934382038228,-1.8012482204473674,-2.831997259752009,4.696476290384466,90.2207363997622,94.91721269014667
0.16000000000000011,0.6324721996293879,-1.8199765533080414,-2.758437941143493,4.794646480701696,90.13255517307577,94.92720165377747
0.16200000000000012,0.6288136384458557,-1.8385706500624888,-2.684768889677797,4.893117578641545,90.04390646816587,94.93702404680742
0.16400000000000012,0.6251180242745574,-1.8570293616705407,-2.6109950843335796,4.991861728680427,89.95481155037456,94.94667327905499
0.16600000000000012,0.6213856290309416,-1.8753515430756311,-2.537121519404493,5.090851009603499,89.86529181158396,94.95614282118746
0.16800000000000012,0.6176167269164728,-1.8935360533392833,-2.463153204158154,5.19005744081318,89.77536876556186,94.96542620637504
0.17000000000000012,0.6138115944102583,-1.9115817557787025,-2.3890951624861616,5.289452988711268,89.68506404322132,94.97451703193258
