time,q,dq,u
0.002,0.785344565394989,-0.05359787178355634,-15.707963267948966
0.004,0.7851837889123396,-0.10717821884047007,-15.701531520721424
0.006,0.7849158758807446,-0.16073415935602908,-15.692957956362747
0.008,0.7845408819915326,-0.21425881501037766,-15.68224410167929
0.01,0.7840588766887455,-0.267745311360062,-15.669391758329613
0.012,0.7834699431610035,-0.321186778221113,-15.654403002638904
0.014,0.7827741783326005,-0.37457635005420586,-15.637280185397959
0.016,0.7819716928538287,-0.4279071663524334,-15.61802593164659
0.018000000000000002,0.7810626110905227,-0.48117237203222707,-15.596643140441332
0.020000000000000004,0.7800470711128191,-0.534365117827955,-15.573134984607231
0.022000000000000006,0.7789252246831233,-0.5874785606907238,-15.547504910473588
0.024000000000000007,0.7776972372432726,-0.6405058641919039,-15.519756637593394
0.02600000000000001,0.7763632879008883,-0.6934401989318963,-15.48989415844626
0.02800000000000001,0.7749235694149046,-0.7462747429546489,-15.457921738124575
0.030000000000000013,0.7733782881802614,-0.7990026821684274,-15.423843914002628
0.032000000000000015,0.7717276642117499,-0.8516172107733393,-15.387665495388386
0.034000000000000016,0.7699719311269951,-0.9041115316960994,-15.349391563157663
0.03600000000000002,0.7681113361285621,-0.9564788570325208,-15.309027469370292
0.03800000000000002,0.7661461399851683,-1.0087124084982053,-15.266578836867989
0.04000000000000002,0.7640766170119867,-1.0608054178878992,-15.222051558853547
0.04200000000000002,0.7619030550500201,-1.11275112754397,-15.175451798450943
0.044000000000000025,0.7596257554445304,-1.1645427908344541,-15.126785988246004
0.04600000000000003,0.7572450330225006,-1.2161736726411068,-15.076060829807162
0.04800000000000003,0.7547612160691112,-1.2676370498578857,-15.0232832931859
0.05000000000000003,0.7521746463032082,-1.3189262119002791,-14.968460616396435
0.05200000000000003,0.749485678851742,-1.3700344612258826,-14.911600304874137
0.054000000000000034,0.7466946822231528,-1.4209551138666143,-14.852710130912252
0.056000000000000036,0.7438020382796803,-1.471681499972947,-14.791798133076394
0.05800000000000004,0.7408081422085719,-1.5222069643705196,-14.72887261559631
0.06000000000000004,0.7377134024921661,-1.5725248671294791,-14.663942147734387
0.06200000000000004,0.7345182408768229,-1.6226285841468888,-14.597015563130373
0.06400000000000004,0.7312230923406772,-1.6725115077425217,-14.52810195912177
0.06600000000000004,0.7278284050601861,-1.7221670472683452,-14.457210696039292
0.06800000000000005,0.7243346403754441,-1.7715886297319863,-14.384351396476887
0.07000000000000005,0.7207422727542366,-1.820769700434446,-14.309533944535684
0.07200000000000005,0.7170517897548035,-1.8697037236223233,-14.232768485041287
0.07400000000000005,0.7132636919872842,-1.9183841831547794,-14.154065422733838
0.07600000000000005,0.7093784930738132,-1.966804583185466,-14.073435421430208
0.07800000000000006,0.7053967196072369,-2.014958448859614,-13.990889403157716
0.08000000000000006,0.7013189111084213,-2.062839327026466,-13.906438547258777
0.08200000000000006,0.6971456199821184,-2.1104407869672106,-13.820094289465779
0.08400000000000006,0.6928774114713625,-2.1577564211385596,-13.731868320945647
0.08600000000000006,0.6885148636103623,-2.2047798459320886,-13.641772587313394
0.08800000000000006,0.6840585671758591,-2.2515047024494397,-13.549819287614037
0.09000000000000007,0.6795091256369191,-2.2979246572934575,-13.456020873272237
0.09200000000000007,0.6748671551031264,-2.3440334033753203,-13.360390047009036
