time,q,dq,u
0.002,4.948135910339562e-06,0.004951368163421484,2.0
0.004,1.981251595010687e-05,0.009912960626212572,2.0
0.006,4.459970498812342e-05,0.014874142949346778,2.0
0.008,7.930867747725921e-05,0.0198347098684847,2.0
0.01,0.00012393799736563462,0.02479445614469098,2.0
0.012,0.0001784858181560406,0.029753176572987056,2.0
0.014,0.00024294988298234545,0.03471066599084443,2.0
0.016,0.00031732752470288813,0.039666719286677726,2.0
0.018000000000000002,0.00040161566601085733,0.04462113140833746,2.0
0.020000000000000004,0.0004958108195616557,0.04957369737160245,2.0
0.022000000000000006,0.0005999090881172484,0.054524212268671796,2.0
0.024000000000000007,0.0007139061647074956,0.05947247127665647,2.0
0.02600000000000001,0.0008377973328084671,0.06441826966607032,2.0
0.02800000000000001,0.0009715774665377389,0.0693614028093206,2.0
0.030000000000000013,0.0011152410308666696,0.07430166618919776,2.0
0.032000000000000015,0.0012687820818496562,0.07923885540736464,2.0
0.034000000000000016,0.0014321942668703677,0.08417276619284483,2.0
0.03600000000000002,0.0016054708249049541,0.08910319441051032,2.0
0.03800000000000002,0.0017886045868022301,0.09402993606956812,2.0
0.04000000000000002,0.001981587975580831,0.09895278733204604,2.0
0.04200000000000002,0.0021844130067433386,0.10387154452127738,2.0
0.044000000000000025,0.0023970712886073773,0.10878600413038449,2.0
0.04600000000000003,0.0026195540226536737,0.11369596283076118,2.0
0.04800000000000003,0.0028518520038910812,0.11860121748055384,2.0
0.05000000000000003,0.0030939556212385656,0.12350156513314117,2.0
0.05200000000000003,0.0033458548579241468,0.1283968030456125,2.0
0.054000000000000034,0.003607539291900799,0.13328672868724445,2.0
0.056000000000000036,0.003878998096279299,0.13817113974797618,2.0
0.05800000000000004,0.004160220039778026,0.14304983414688255,2.0
0.06000000000000004,0.004451193487189705,0.1479226100406457,2.0
0.06200000000000004,0.0047519063998584035,0.1527892658286815,2.0
0.06400000000000004,0.005062346336193294,0.1576496001715203,2.0
0.06600000000000004,0.0053825004521797564,0.1625034119894748,2.0
0.06800000000000005,0.005712355501913856,0.16735050047432992,2.0
0.07000000000000005,0.006051897838153751,0.17219066509780323,2.0
0.07200000000000005,0.006401113412888016,0.1770237056200027,2.0
0.07400000000000005,0.00675998777792088,0.1818494220978817,2.0
0.07600000000000005,0.007128506085474364,0.18666761489369138,2.0
0.07800000000000006,0.007506653088807334,0.19147808468342944,2.0
0.08000000000000006,0.007894413142851435,0.1962806324652863,2.0
0.08200000000000006,0.00829177020486392,0.20107505956808747,2.0
0.08400000000000006,0.008698707835097361,0.20586116765973267,2.0
0.08600000000000006,0.009115209197486237,0.21063875875563107,2.0
0.08800000000000006,0.009541257060350377,0.21540763522713263,2.0
0.09000000000000007,0.009976833797115277,0.22016759980995557,2.0
0.09200000000000007,0.010421921387049256,0.2249184556126092,2.0
0.09400000000000007,0.010876501416017457,0.2296600061248127,2.0
0.09600000000000007,0.011340555077252686,0.23439205522590878,2.0
0.09800000000000007,0.011814063172143062,0.23911440719327287,2.0
0.10000000000000007,0.012297006111036495,0.24382686671071688,2.0
0.10200000000000008,0.012789363914061954,0.24852923887688771,2.0
0.10400000000000008,0.013291116211967532,0.25322132921366025,2.0
0.10600000000000008,0.013802242246975287,0.2579029436745245,2.0
0.10800000000000008,0.014322720873652856,0.26257388865296655,2.0
0.11000000000000008,0.014852530559801827,0.2672339709908434,2.0
0.11200000000000009,0.015391649387362847,0.27188299798675114,2.0
0.11400000000000009,0.01594005505333746,0.2765207774043861,2.0
0.11600000000000009,0.01649772487072667,0.2811471174808991,2.0
0.11800000000000009,0.017064635769486185,0.28576182693524227,2.0
0.12000000000000009,0.017640764297498376,0.290364714976508,2.0
0.1220000000000001,0.01822608662156088,0.2949555913122599,2.0
0.1240000000000001,0.01882057852839187,0.2995342661568557,2.0
0.12600000000000008,0.019424215425651953,0.3041005502397611,2.0
0.12800000000000009,0.0200369723429827,0.3086542548138552,2.0
0.1300000000000001,0.02065882393306177,0.31319519166372606,2.0
0.1320000000000001,0.02128974447267461,0.3177231731139571,2.0
0.1340000000000001,0.02192970786380273,0.32223801203740327,2.0
0.1360000000000001,0.022578687634728506,0.32673952186345706,2.0
0.1380000000000001,0.023236656941156522,0.33122751658630384,2.0
0.1400000000000001,0.02390358856735139,0.33570181077316585,2.0
0.1420000000000001,0.024579454927292074,0.3401622195725353,2.0
0.1440000000000001,0.025264228065842637,0.344608558722395,2.0
0.1460000000000001,0.02595787965993944,0.3490406445584274,2.0
0.1480000000000001,0.026660381019794746,0.35345829402221085,2.0
0.1500000000000001,0.027371703090116686,0.3578613246694024,2.0
0.1520000000000001,0.02809181645134559,0.3622495546779079,2.0
0.1540000000000001,0.028820691320906658,0.3666228028560377,2.0
0.1560000000000001,0.029558297554478887,0.3709808886506482,2.0
0.1580000000000001,0.03030460464728032,0.375323632155269,2.0
0.16000000000000011,0.031059581735369476,0.3796508541182143,2.0
0.16200000000000012,0.03182319759696305,0.3839623759506793,2.0
0.16400000000000012,0.03259542065376975,0.3882580197348199,2.0
0.16600000000000012,0.03337621897234025,0.3925376082318163,2.0
0.16800000000000012,0.03416556026543334,0.39680096488991945,2.0
0.17000000000000012,0.034963411893398064,0.4010479138524798,2.0
0.17200000000000013,0.03576974086557194,0.4052782799659582,2.0
0.17400000000000013,0.0365845138416952,0.40949188878791837,2.0
0.17600000000000013,0.037407697133340925,0.41368856659500003,2.0
0.17800000000000013,0.0382392567053612,0.41786814039087283,2.0
0.18000000000000013,0.03907915817734909,0.42203043791417,2.0
0.18200000000000013,0.039927366825116474,0.4261752876464014,2.0
0.18400000000000014,0.04078384758218773,0.4303025188198457,2.0
0.18600000000000014,0.04164856504130909,0.4344119614254205,2.0
0.18800000000000014,0.04252148345597383,0.43850344622053045,2.0
0.19000000000000014,0.04340256674196303,0.44257680473689254,2.0
0.19200000000000014,0.04429177847890203,0.44663186928833815,2.0
0.19400000000000014,0.04518908191183243,0.4506684729785908,2.0
0.19600000000000015,0.04609443995279962,0.45468644970901995,2.0
0.19800000000000015,0.04700781518245582,0.45868563418636915,2.0
0.20000000000000015,0.04792916985167855,0.46266586193045883,2.0
0.20200000000000015,0.04885846588320442,0.46662696928186287,2.0
0.20400000000000015,0.049795664873278356,0.470568793409558,2.0
0.20600000000000016,0.05074072809331795,0.4744911723185459,2.0
0.20800000000000016,0.05169361649159318,0.4783939448574471,2.0
0.21000000000000016,0.05265429069492119,0.48227695072606624,2.0
0.21200000000000016,0.05362271101037619,0.4861400304829279,2.0
0.21400000000000016,0.05459883742701442,0.4899830255527824,2.0
0.21600000000000016,0.055582629617614086,0.49380577823408095,2.0
0.21800000000000017,0.056574046940430195,0.4976081317064196,2.0
0.22000000000000017,0.05757304844096427,0.5013899300379513,2.0
0.22200000000000017,0.05857959285374885,0.5051510181927651,2.0
0.22400000000000017,0.05959363860414671,0.5088912420382323,2.0
0.22600000000000017,0.06061514381016476,0.512610448352319,2.0
0.22800000000000017,0.061644066284282484,0.516308484830863,2.0
0.23000000000000018,0.06268036353529496,0.5199852000948171,2.0
0.23200000000000018,0.06372399277017032,0.5236404436974547,2.0
0.23400000000000018,0.0647749108959215,0.5272740661315402,2.0
